"yf-u4m6f0","yf-u4m6f0 2","yf-u4m6f0 3","yf-u4m6f0 4","yf-u4m6f0 5","yf-u4m6f0 6","yf-u4m6f0 7"
"Mar 16, 2026","7,115.45","7,120.19","6,917.32","7,022.29","7,022.29","264,167,600"
"Mar 13, 2026","7,338.82","7,350.28","7,132.21","7,137.21","7,137.21","256,288,700"
"Mar 12, 2026","7,398.85","7,436.50","7,323.74","7,362.12","7,362.12","234,355,700"
"Mar 11, 2026","7,484.77","7,527.32","7,380.81","7,389.40","7,389.40","253,162,500"
"Mar 10, 2026","7,443.05","7,499.82","7,372.82","7,440.91","7,440.91","309,617,900"
"Mar 9, 2026","7,374.31","7,403.73","7,156.68","7,337.37","7,337.37","406,185,700"
"Mar 6, 2026","7,699.47","7,700.32","7,500.08","7,585.69","7,585.69","291,110,400"
"Mar 5, 2026","7,695.35","7,765.61","7,678.53","7,710.54","7,710.54","303,915,000"
"Mar 4, 2026","7,896.38","7,897.81","7,486.32","7,577.06","7,577.06","485,472,100"
"Mar 3, 2026","8,059.87","8,098.39","7,932.52","7,939.77","7,939.77","396,162,400"
"Mar 2, 2026","8,092.90","8,133.69","8,016.83","8,016.83","8,016.83","527,702,300"
"Feb 27, 2026","8,211.30","8,246.95","8,093.75","8,235.49","8,235.49","441,200,100"
"Feb 26, 2026","8,351.36","8,358.96","8,139.82","8,235.26","8,235.26","450,264,700"
"Feb 25, 2026","8,318.14","8,373.48","8,259.75","8,322.23","8,322.23","441,816,300"
"Feb 24, 2026","8,428.05","8,437.09","8,259.48","8,280.83","8,280.83","509,728,100"
"Feb 23, 2026","8,334.54","8,397.07","8,327.57","8,396.08","8,396.08","443,116,900"
"Feb 20, 2026","8,300.22","8,328.42","8,236.75","8,271.77","8,271.77","400,251,500"
"Feb 19, 2026","8,357.45","8,376.20","8,251.81","8,274.08","8,274.08","435,377,400"
"Feb 18, 2026","8,235.81","8,310.23","8,227.45","8,310.23","8,310.23","459,026,600"
"Feb 13, 2026","8,240.01","8,251.99","8,170.59","8,212.27","8,212.27","434,442,400"
"Feb 12, 2026","8,317.24","8,334.02","8,220.15","8,265.35","8,265.35","379,401,500"
"Feb 11, 2026","8,152.79","8,290.97","8,118.16","8,290.97","8,290.97","545,693,700"
"Feb 10, 2026","8,031.58","8,140.86","8,011.13","8,131.74","8,131.74","374,472,200"
"Feb 9, 2026","7,970.02","8,031.87","7,863.01","8,031.87","8,031.87","310,222,600"
"Feb 6, 2026","7,945.04","8,025.14","7,861.69","7,935.26","7,935.26","312,234,100"
"Feb 5, 2026","8,154.60","8,214.46","8,102.79","8,103.88","8,103.88","323,626,200"
"Feb 4, 2026","8,121.03","8,194.68","8,050.40","8,146.72","8,146.72","404,556,000"
"Feb 3, 2026","7,888.77","8,122.60","7,712.35","8,122.60","8,122.60","545,340,400"
"Feb 2, 2026","8,306.16","8,313.06","7,820.23","7,922.73","7,922.73","444,961,400"
"Jan 30, 2026","8,308.72","8,408.30","8,167.16","8,329.61","8,329.61","478,640,200"
"Jan 29, 2026","8,027.83","8,296.94","7,481.99","8,232.20","8,232.20","906,233,100"
"Jan 28, 2026","8,393.51","8,596.17","8,187.73","8,320.56","8,320.56","557,055,000"
"Jan 27, 2026","8,974.57","8,980.23","8,873.48","8,980.23","8,980.23","536,008,400"
"Jan 26, 2026","8,967.73","9,058.05","8,923.53","8,975.33","8,975.33","491,763,600"
"Jan 23, 2026","9,031.49","9,039.67","8,837.83","8,951.01","8,951.01","587,299,800"
"Jan 22, 2026","9,052.17","9,109.71","8,992.13","8,992.18","8,992.18","661,020,800"
"Jan 21, 2026","9,094.43","9,105.23","8,977.68","9,010.33","9,010.33","553,244,200"
"Jan 20, 2026","9,156.19","9,174.47","9,120.15","9,134.70","9,134.70","606,446,200"
"Jan 19, 2026","9,098.70","9,133.87","9,026.00","9,133.87","9,133.87","541,550,600"
"Jan 15, 2026","9,072.30","9,100.83","9,041.00","9,075.41","9,075.41","446,899,000"
